country,2014-12-01,2014-12-08,2014-12-15,2014-12-22,2014-12-29,2015-01-05,2015-01-12,2015-01-19,2015-01-26,2015-02-02,2015-02-09,2015-02-16,2015-02-23,2015-03-02,2015-03-09,2015-03-16,2015-03-23,2015-03-30,2015-04-06,2015-04-13,2015-04-20,2015-04-27,2015-05-04,2015-05-11,2015-05-18,2015-05-25,2015-06-01,2015-06-08,2015-06-15,2015-06-22,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23
Afghanistan,3.4965880893300247,3.9707138499084813,3.971847858640312,4.0,4.055257964477023,4.088243507400168,3.8608119304059647,3.973115299334812,4.004137115839243,3.9976689976689976,3.9112056737588654,3.5265851578049467,3.807052186177715,3.8260869565217392,3.7829153605015673,3.642289719626168,3.747762221712187,3.5556615017878426,3.7981065609863496,3.816608996539793,3.7857928304376514,3.654635967641568,3.445229007633588,3.4783599088838266,3.3798068161108072,3.3163085593518846,3.283212161269002,3.230845279288186,2.8389114266396214,3.0614754098360657,3.3152678847940535,3.338595699894753,3.322525860737996,3.1318533969010733,3.3838679827267115,3.337231968810916,3.30201443174985,3.3551836355183635,2.9014107345548887,3.3216329055203344,3.473732437385461,3.4445274003285054,3.258667883211679,3.4049512378094517,3.455361082512134,3.45955223880597,3.357110404361654,3.4207207207207206,3.3987577639751554,3.894720301697046,3.81807336713391,3.523809523809524
Aland Islands,4.4740990990990985,5.048179871520341,5.176899063475545,5.314141414141414,5.133265513733469,5.458546571136131,5.225941422594143,4.95,5.288501026694045,5.664926931106472,5.504282655246253,5.258333333333334,5.388768898488121,4.7991886409736315,5.032553407934893,5.037111334002006,5.409183673469387,5.078431372549018,5.339319470699434,5.141110065851364,5.587763289869609,5.349386213408876,5.302583025830257,5.135559921414538,4.550614947965942,4.997137404580153,4.593059936908517,4.512820512820513,4.325605900948367,4.2230366492146585,4.613918017159199,4.9043789097408395,5.03713298791019,5.305946791862286,5.218282111899133,5.5468135326514565,5.323151125401928,5.205813040062844,5.4905660377358485,5.4752883031301485,5.259783513738551,5.144987572493786,5.338235294117646,5.385493072534636,5.483346872461413,5.116465863453816,5.138014527845036,5.3713114754098354,5.044079515989629,5.1266375545851535,5.04474505723205,3.8493975903614457
Albania,3.565489149518927,4.053054714708851,4.131235385814497,4.110848908187024,4.111943092474728,4.139774352455109,4.05045944485072,4.0200936463146135,4.09824823888785,4.128119122257053,4.051570197044335,4.005267671199314,4.032392424787247,4.039392285298399,3.9209106539396457,3.9534492924528304,3.932505017117224,3.873243942875425,3.96574649515826,3.933060269163253,3.9723226422188165,3.88406968641115,3.900982532751092,3.870486820730493,3.8515880750680958,3.808479165622023,3.8429229854296763,3.7957557013904606,3.6428571428571432,3.6834387793077785,3.6613041938584514,3.68032152574952,3.6172540666150272,3.6431150077359455,3.729860803469421,3.8100873548763774,3.820919354113255,3.838351581508516,3.7307007254876408,3.82873897687643,3.847086132625048,3.852875346260388,3.8395067127301346,3.890319936142213,3.8944905111984953,3.908025938131179,3.8412959564639615,3.8416213442791176,3.6562220461573847,4.04887231524974,4.084271392890137,3.8255765490413998
Algeria,2.8889804608358234,3.0360325180162593,3.0282042253521126,3.001249831103905,3.056040454419507,3.048365877302313,2.882758399589638,2.7458288754590408,2.9789617220220124,2.9617988552739165,2.951044699708828,2.734793388429752,2.676982492276004,2.8443198953028537,2.8469047151552545,2.95128604832424,2.852339881808018,2.88893946290396,2.896180113739645,2.8697399953616616,2.9319719008696117,2.8421645721564883,2.8496740096809248,2.7678129511239433,2.681968752445291,2.675168455203394,2.589211215678665,2.671785547556451,2.5603524846898233,2.669780980774197,2.684715897842012,2.6849876143526354,2.683980762116167,2.6661219910738243,2.7100238663484486,2.7762262462618037,2.7917466410748557,2.804823571343709,2.6263244362961022,2.777822133510756,2.8512363102630687,2.815863705561028,2.7416660319394723,2.7339018822414607,2.8303253022527617,2.833648061130385,2.840251149231977,2.9195278969957084,2.7653289179741907,3.0530983180035918,3.0379649928663395,2.9700698018754847
American Samoa,4.230769230769232,4.711538461538462,4.9423076923076925,4.4823529411764715,5.164634146341464,6.124223602484473,5.052287581699347,5.1118421052631575,5.197368421052632,5.348101265822785,5.1,5.353658536585366,5.406060606060606,4.8395061728395055,5.782051282051282,4.708333333333333,5.059782608695652,5.088397790055248,4.843575418994414,5.019512195121951,5.203125,5.097435897435896,4.980295566502463,4.4951456310679605,4.78139534883721,4.690140845070423,5.109090909090909,4.9907407407407405,5.3584070796460175,5.90625,5.416666666666668,4.861818181818182,5.8312757201646095,5.317164179104478,4.117021276595745,4.750902527075811,4.715302491103203,5.180602006688964,5.66546762589928,4.962318840579711,5.109929078014185,4.833887043189368,5.3389261744966445,5.064516129032258,5.341379310344828,5.003048780487805,5.37956204379562,5.496268656716418,3.9725490196078432,5.212765957446809,4.38,3.6403508771929824
Andorra,4.0494205862304025,4.4121540312876055,5.032297379646557,4.996101949025487,5.0045221585770285,5.010025062656641,4.892234548335975,4.657259328943242,5.002443494196701,4.904897314375988,4.947239263803682,4.9136601911810045,4.878290492412512,4.2870060281312785,4.420372122358877,4.856511490866233,4.810405643738977,4.7856053674900885,4.835842928845586,4.830498358698897,5.069788797061523,4.66542520173805,4.9159420289855085,4.925132119788609,4.7749330157785055,4.563978168587021,4.6888754899005125,4.454545454545454,4.452919020715631,4.453221809169764,4.533146591970121,4.464355788096795,4.22839303319093,4.285290237467017,4.28343250861259,4.613148984198647,4.4523199544548815,4.848182070496809,4.7783561643835615,4.952251763429191,5.067514124293785,5.019911504424778,5.104357798165138,4.993934142114385,5.144246803779878,5.274067890929326,5.307758128921848,5.385292447473026,4.888860303576021,4.871623768668574,4.892878515858767,3.8876100203114414
Angola,3.6612286515421872,4.761139281475887,5.052736842105263,5.132053333333333,5.1513756776107185,5.009152830991911,5.307716735471578,4.787249506800955,5.312532339853048,5.403503348789284,4.96209257177889,5.125148986889153,5.017282243729015,4.520574916322111,4.812190796228881,4.7599681020733655,4.793128004272742,4.494549418604652,4.718420156622403,4.718954248366012,4.784318766066838,4.7791966173361535,4.6528493105166975,4.6764171211370025,4.691640127388535,4.823028566881515,4.814713470408881,4.768834666877921,4.739497086783195,4.669958015860675,4.784620243170694,4.636986834930281,4.558146399055491,4.6103905840018,4.768000630219001,4.752408693703788,4.816033880674642,4.3801449167102415,4.953877198039781,5.063203960111916,5.112190876785844,5.120130813953488,5.238179407865665,5.238482579902102,4.987256481617108,4.775740780217438,5.265488018702513,5.377575536949399,4.950594620480485,5.294413407821229,4.878628264036759,3.5908744280630396
Anguilla,4.715025906735751,5.632075471698112,6.0201005025125625,6.366666666666666,5.928571428571429,7.219895287958115,5.382882882882883,5.215517241379311,5.833333333333332,5.411764705882354,5.8657407407407405,5.693965517241379,5.78,5.072072072072072,4.964757709251102,5.0760000000000005,4.397540983606556,5.443965517241379,5.617283950617285,4.911290322580644,4.861224489795919,4.240875912408759,5.049586776859504,5.0791366906474815,4.768060836501901,4.750865051903113,4.503597122302159,4.784905660377358,4.366336633663367,4.527027027027027,3.7836065573770488,4.039735099337748,5.551401869158879,4.79054054054054,4.96039603960396,5.4763313609467446,4.677215189873418,4.6871165644171775,4.757188498402557,4.81524926686217,4.960843373493977,4.944767441860465,4.2042042042042045,4.681286549707601,5.122615803814714,5.148418491484185,5.777777777777778,5.938618925831202,4.357827476038339,5.450292397660818,5.454545454545454,4.192118226600985
Antigua and Barbuda,4.973039215686273,5.652243589743589,5.785012919896642,5.890633176347463,5.908479834539814,6.240061951471348,6.213459516298633,6.159584980237153,6.276107997962304,6.301524840137727,6.254385964912281,6.167554479418887,6.237859266600593,5.929933024214322,5.891223155929039,5.943771626297577,5.779632006846384,5.551271186440678,5.618598934862762,5.610343466245558,5.541666666666668,5.3568945538818085,5.250184774575018,5.189832918592249,5.1602634467618005,5.269077757685354,5.2839595375722554,5.292045041772612,5.256076083127862,5.002081165452653,5.027576197387519,4.844097995545657,5.234580384226492,5.080821464060947,4.877950101146325,5.160258481421648,5.197217180883243,5.047022900763358,5.186687306501548,5.199075500770416,5.3531954306884835,5.17852798053528,5.302804295942722,5.546899345590527,5.4749253731343295,5.480956598759963,5.399575242718448,5.187956204379562,5.0952029520295214,5.691259931895572,5.47069065583285,4.6486662329212765
Argentina,5.956475175287403,7.566397950091477,7.560738904971156,7.527239791603588,7.637298485093972,7.96975033168496,7.870420132834015,6.988457953975196,8.174204994610133,8.24745924711288,8.131100575514031,7.936085263644163,6.979451379763469,6.874580117101238,7.5742547407101055,6.937034397130507,6.610619778281954,6.2987914672722845,6.7086906245379865,6.623819922991323,6.6685058771897365,6.1316434707449154,6.571570507359241,6.459828888521176,6.330028605236253,6.510085086735701,6.596091844088072,6.164475138985367,6.3796221529819634,6.165965981668647,6.346736541619735,6.542796579648704,6.361118215503853,6.026773283616421,6.41073245118386,6.585156931458214,6.532574333397276,6.5597723323671575,6.560315440887576,6.5853734282546075,6.724371264449756,6.200028449771928,6.714627121985735,6.6962946593270924,6.809851874233253,6.777999282975003,6.694319959081398,6.314717198886144,6.796407023399593,7.682278382474826,7.910654965087441,5.73318898888871
