country,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15
Afghanistan,0.13208406,0.139689705,0.140562173,0.148566118,0.173848722,0.205086867,0.247401563,0.28190198,0.295425233,0.286397087,0.29762537,0.295311433
Aland Islands,0.285641461,0.300084962,0.282073067,0.293627867,0.306372133,0.329141886,0.356839422,0.352081563,0.410365336,0.410875106,0.397790994,0.401019541
Albania,0.231203973,0.248612776,0.246334989,0.26610721,0.272306902,0.286054975,0.32494434,0.342250385,0.362300908,0.379384312,0.385678198,0.394202774
Algeria,0.154018869,0.157902811,0.16966388,0.201414117,0.205939572,0.220843125,0.22543366,0.236081379,0.233303814,0.237150567,0.245552991,0.259550058
American Samoa,0.142998516,0.165759525,0.152894607,0.168233548,0.170707571,0.203364671,0.236021771,0.254824344,0.287481445,0.33151905,0.344878773,0.323602177
Andorra,0.320297648,0.331703873,0.313562544,0.33208408,0.334745533,0.339253707,0.356634621,0.360328065,0.35571126,0.390690348,0.381945576,0.373635327
Angola,0.199749984,0.212733294,0.209849332,0.227580762,0.251113012,0.270796324,0.291258197,0.306401737,0.316928745,0.324473101,0.331502073,0.322751497
Anguilla,0.173418972,0.188241107,0.174901186,0.18972332,0.21986166,0.250988142,0.278162055,0.312747036,0.334486166,0.334486166,0.357213439,0.383399209
Antigua and Barbuda,0.175580056,0.191706434,0.188634743,0.199385662,0.227908507,0.26509791,0.312215457,0.325873512,0.340354342,0.361965882,0.370083923,0.364434205
Argentina,0.144728793,0.137173638,0.143988347,0.16752028,0.261797361,0.313606185,0.361099251,0.383557067,0.41487647,0.433502442,0.446204842,0.442946609
Armenia,0.249846624,0.264790656,0.270312193,0.27681765,0.290673581,0.307573881,0.311197027,0.325527556,0.333121115,0.349766753,0.354859994,0.358031694
Aruba,0.123681024,0.128120856,0.129965981,0.138384363,0.194141729,0.249899095,0.321282362,0.363316612,0.403678718,0.433143055,0.439716312,0.43504584
Australia,0.287654266,0.295978198,0.295821931,0.324962197,0.340457018,0.3616588,0.374483521,0.388011354,0.404425092,0.403959955,0.409921559,0.406211632
Austria,0.305469904,0.316469317,0.298230604,0.322922029,0.340695386,0.37307437,0.397083638,0.387270825,0.388153294,0.427410652,0.452475219,0.450616843
Azerbaijan,0.21068753,0.225905755,0.231448953,0.232246683,0.251632533,0.268885991,0.276106466,0.292403672,0.30182813,0.316918514,0.330075938,0.341903812
Bahamas,0.265291266,0.285508661,0.279205202,0.297337988,0.303525636,0.321426799,0.343480635,0.349304303,0.359462634,0.362539914,0.358982843,0.359363367
Bahrain,0.270943713,0.286404223,0.2694391,0.294109812,0.302950027,0.342627399,0.357944847,0.339884564,0.348774111,0.348635982,0.3583395,0.368205811
Bangladesh,0.172367897,0.181172699,0.184157319,0.208895288,0.227173011,0.249310399,0.256780715,0.263249728,0.293330902,0.290465527,0.320020622,0.314756329
Barbados,0.271863339,0.288531387,0.277817398,0.301219007,0.314387594,0.330110291,0.347391989,0.359764491,0.367808276,0.390247948,0.390330873,0.379666639
Belarus,0.228900318,0.236905053,0.298938689,0.244868969,0.265331864,0.284762021,0.298477427,0.303796228,0.308776227,0.33546412,0.339382807,0.341391134
Belgium,0.330023012,0.334671198,0.317881504,0.33960234,0.346943653,0.376043804,0.37594628,0.356809143,0.377028201,0.406829793,0.417996518,0.413029663
Belize,0.105223581,0.114447564,0.114898737,0.125075196,0.184830559,0.243483056,0.30910367,0.341487868,0.371816723,0.358482053,0.371866854,0.371215159
Benin,0.191308397,0.203383517,0.200962285,0.217010709,0.222908583,0.216638212,0.232407264,0.243830514,0.241285116,0.249945677,0.260654974,0.260375601
Bermuda,0.192190889,0.204049168,0.196312364,0.212870571,0.253506869,0.296456978,0.338394794,0.363557484,0.388937093,0.399927693,0.397830803,0.402675343
Bhutan,0.22514953,0.22692965,0.228496155,0.260609513,0.274636856,0.284463116,0.292936485,0.316932498,0.325049843,0.330461407,0.333594418,0.320350328
Bolivia,0.071124635,0.073157357,0.076472383,0.091670378,0.173762638,0.244161595,0.295136312,0.335922682,0.363032507,0.377426484,0.392777036,0.39762588
Bosnia and Herzegovina,0.25337036,0.264088271,0.258796555,0.279842392,0.287500925,0.301775785,0.316958372,0.32027326,0.327925069,0.330318781,0.341567881,0.343894354
Botswana,0.163492063,0.183573834,0.185257335,0.204545455,0.24016354,0.275637326,0.306349206,0.326430976,0.357599808,0.378138528,0.386844637,0.383886484
Brazil,0.107246779,0.108667734,0.112423823,0.131310825,0.205795395,0.278057358,0.323656025,0.358350114,0.394814476,0.418473142,0.429532345,0.437931481
British Indian Ocean Territory,0.047619048,0.023809524,0.023809524,0.071428571,0.166666667,0.238095238,0.261904762,0.261904762,0.095238095,0.30952381,0.261904762,0.166666667
British Virgin Islands,0.191457587,0.204151732,0.19474313,0.214008363,0.225806452,0.2510454,0.29853644,0.33004779,0.32332736,0.334677419,0.35125448,0.350955795
Brunei,0.172027623,0.18699741,0.215869338,0.195743038,0.239244014,0.277861069,0.295488619,0.318249966,0.376039253,0.393144337,0.405229204,0.405433647
Bulgaria,0.282953979,0.297214426,0.28569017,0.303122685,0.311071751,0.325395186,0.342716842,0.342356551,0.345770492,0.354346917,0.355216149,0.354843261
Burkina Faso,0.124022426,0.132557226,0.12820055,0.142449023,0.190551012,0.22219048,0.28046995,0.29368282,0.30611006,0.298289469,0.307931293,0.321429847
Burundi,0.170280108,0.182782086,0.176610223,0.186738408,0.257635702,0.242601677,0.254628897,0.272827979,0.272194968,0.291818326,0.313815477,0.310175661
Cambodia,0.220377195,0.231075528,0.22152563,0.248819795,0.243407087,0.272913401,0.302273808,0.325713183,0.330890555,0.339028443,0.335474883,0.336180888
Cameroon,0.118513635,0.127946043,0.121454923,0.146088213,0.183057165,0.208514523,0.225946727,0.243531067,0.249413644,0.261153441,0.267302255,0.263727069
Canada,0.273565089,0.284856399,0.27426843,0.296692059,0.322059514,0.337404427,0.363782594,0.370235672,0.38779254,0.41378162,0.417192811,0.416027265
Cape Verde,0.257461955,0.273790086,0.264123833,0.300764156,0.301286657,0.29488603,0.30291947,0.305662596,0.291816341,0.306511658,0.316635099,0.323492914
Cayman Islands,0.161077844,0.174251497,0.168529607,0.180638723,0.219494345,0.261610113,0.316367265,0.338323353,0.367930805,0.389421158,0.386427146,0.394943446
Central African Republic,0.154255319,0.180319149,0.150531915,0.187765957,0.207446809,0.20212766,0.217553191,0.235638298,0.237234043,0.235638298,0.231914894,0.246808511
Chad,0.026053864,0.023126464,0.016393443,0.019906323,0.036007026,0.056791569,0.156908665,0.227166276,0.287763466,0.317037471,0.359777518,0.353629977
Chile,0.163841114,0.15540197,0.147422074,0.190998118,0.277348141,0.335943493,0.378570643,0.397965731,0.434000427,0.444284319,0.460352779,0.456024217
China,0.132801418,0.13924531,0.119322955,0.114106325,0.124129478,0.125982613,0.09230482,0.080733052,0.100165726,0.086257263,0.072739014,0.052079077
Christmas Island,0.067307692,0.173076923,0.173076923,0.125,0.105769231,0.125,0.144230769,0.134615385,0.086538462,0.048076923,0.038461538,0.038461538
Colombia,0.142867638,0.150339282,0.175094122,0.191234701,0.277683995,0.321418656,0.338216186,0.372838533,0.43377224,0.443301021,0.442309187,0.435409492
Comoros,0.061879297,0.057295646,0.054239878,0.065699007,0.145912911,0.226890756,0.267379679,0.25210084,0.268143621,0.294881589,0.325439267,0.307868602
Congo - Brazzaville,0.069919296,0.073514307,0.070652971,0.078870139,0.135143067,0.198385913,0.244680851,0.289655172,0.322230374,0.339691856,0.309684519,0.357079971
Cook Islands,0.086148649,0.097972973,0.109797297,0.132601351,0.168918919,0.212837838,0.266047297,0.3125,0.319256757,0.358952703,0.358952703,0.348817568
Costa Rica,0.160021905,0.168443178,0.179638053,0.201706711,0.268300755,0.337794474,0.39745845,0.430597881,0.46941453,0.490634166,0.503869846,0.504342619
Croatia,0.280013247,0.290660968,0.280163067,0.296122821,0.310605404,0.33114649,0.351190805,0.359990748,0.36849368,0.384416636,0.384629538,0.379627658
Cuba,0.041905131,0.045300223,0.046173247,0.06149966,0.119022214,0.168590552,0.184983995,0.224658066,0.231642254,0.258026967,0.262198079,0.279852556
Cura’_ao,0.6875,0.5625,0.5625,0.625,0.625,0.5,0.375,0.625,0.375,0.4375,0.1875,0.3125
